data,descricao,categoria,valor,tipo
01.03.2026,Bolsa Estágio,receita,1000,entrada
02.03.2026,Cantina,alimentacao,20,saida
02.03.2026,Uber,transporte,12,saida
05.03.2026,Curso,educacao,100,saida
12.03.2026,Cantina,alimentacao,20,saida
15.03.2026,Mesada,receita,250,entrada
16.03.2026,Cinema,lazer,25,saida
22.03.2026,Uber,transporte,16,saida
25.03.2026,Loja de Calçados,vestuario,189,saida
27.03.2026,Supermercado,alimentacao,80,saida
28.03.2026,Reserva pessoal,investimento,250,saida
28.03.2026,CDB,investimento,300,saida
